years,cif_built,cif_withdrawn,naive_km_built,at_risk
4.618754277891855,0.10068109874068208,0.6097367881286611,0.1848529001874839,3714
4.621492128678987,0.1009150729769848,0.6097367881286611,0.18551151621211026,3713
4.6242299794661195,0.1009930643890857,0.6098147795407619,0.1857310548869857,3710
4.629705681040384,0.10107105580118661,0.6098147795407619,0.18595065276862344,3708
4.632443531827516,0.10130503003748932,0.6099707623649637,0.18660944641353694,3707
4.635181382614648,0.10138319035356878,0.6100489226810432,0.18682963876697134,3694
4.63791923340178,0.1014613930329632,0.6101271253604376,0.18705001013857925,3690
4.640657084188912,0.10161779839175203,0.6101271253604376,0.18749087238904638,3688
4.643394934976044,0.10169602229304045,0.610205349261726,0.18771136333276717,3685
4.646132785763176,0.10169602229304045,0.6102835944079631,0.18771136333276717,3682
4.648870636550308,0.10177426743927762,0.6102835944079631,0.18793203397570857,3681
4.65160848733744,0.10193075773175195,0.6102835944079631,0.18837337526159126,3680
4.654346338124572,0.10216562088288929,0.6103618821250089,0.1890357473710078,3676
4.657084188911704,0.10216562088288929,0.6105184575591004,0.1890357473710078,3672
4.659822039698836,0.10216562088288929,0.6105967666137633,0.1890357473710078,3669
4.662559890485968,0.10224399403773331,0.6107535129234514,0.18925702001838274,3665
4.6652977412731005,0.10232236719257733,0.6107535129234514,0.1894784135137355,3662
4.6680355920602326,0.10240074034742135,0.6109886323879834,0.18969980700908817,3661
4.670773442847365,0.10263585981195342,0.6110670055428274,0.1903645323519848,3657
4.673511293634497,0.10287201362111911,0.6112244414156046,0.19103236474212615,3637
4.676249144421629,0.10295090532778668,0.61169779165561,0.19125558980704283,3624
4.678986995208761,0.1031877769130246,0.6118557060457686,0.19192693270426997,3614
4.681724845995893,0.1032667341081039,0.6119346632408479,0.19215083768273933,3609
4.684462696783025,0.1033458009050642,0.6119346632408479,0.19237511562896847,3602
4.687200547570157,0.10342486770202451,0.6120137300378082,0.19259939357519762,3601
4.689938398357289,0.10350393449898482,0.6120137300378082,0.19282373383816642,3599
4.692676249144422,0.10358300129594512,0.6120927968347686,0.19304807410113523,3598
4.695414099931554,0.1037412228885268,0.6122510184273503,0.1934971291517189,3594
4.698151950718686,0.10389948856625549,0.6122510184273503,0.19394655956177642,3589
4.700889801505818,0.10397866555175239,0.6123301954128472,0.19417140013093626,3585
4.706365503080082,0.1040578425372493,0.6123301954128472,0.19439630345213887,3583
4.7091033538672145,0.1041370195227462,0.6125677263693379,0.1946212067733415,3582
4.7118412046543465,0.1042955063781912,0.6126469697970603,0.19507176833598583,3575
4.714579055441479,0.10446041026623358,0.6130592295171663,0.19554070409576674,3433
4.717316906228611,0.10462531415427596,0.6132241334052086,0.19601032423348086,3426
4.720054757015743,0.10470781431580828,0.6133891337282733,0.19624540893399733,3420
4.722792607802875,0.10487281463887291,0.613554134051338,0.19671585352929488,3417
4.725530458590007,0.10487281463887291,0.6140491350205318,0.19671585352929488,3413
4.728268309377139,0.10487281463887291,0.6141316351820642,0.19671585352929488,3407
4.731006160164271,0.10495531480040522,0.6142141353435965,0.19695169737734852,3406
4.733744010951403,0.10495531480040522,0.6149566367973873,0.19695169737734852,3404
4.736481861738535,0.10495531480040522,0.6152041372819843,0.19695169737734852,3395
4.739219712525667,0.10512036378177804,0.6153691862633571,0.19742533247178828,3391
4.741957563312799,0.10520288827246445,0.6154517107540435,0.19766228985812662,3387
4.744695414099931,0.10520288827246445,0.6156993573861121,0.19766228985812662,3384
4.747433264887063,0.10545053490453314,0.6156993573861121,0.19837421329214788,3381
4.7501711156741955,0.1055331082263304,0.6159470773515039,0.1986115913752713,3377
