region,years,cif_built,cif_withdrawn
CAISO,0.785763175906913,0.001989653800238758,0.1874253879824917
CAISO,0.7885010266940452,0.001989653800238758,0.18941504178273047
CAISO,0.7912388774811773,0.001989653800238758,0.18981297254277824
CAISO,0.7967145790554415,0.001989653800238758,0.19060883406287374
CAISO,0.7994524298425736,0.001989653800238758,0.19379228014325575
CAISO,0.8021902806297057,0.0023875845602865098,0.19578193394349452
CAISO,0.8049281314168378,0.0023875845602865098,0.19737365698368553
CAISO,0.8076659822039699,0.0023875845602865098,0.19896538002387654
CAISO,0.810403832991102,0.0023875845602865098,0.1993633107839243
CAISO,0.813141683778234,0.0023875845602865098,0.19976124154397207
CAISO,0.8158795345653662,0.0023875845602865098,0.20015917230401983
CAISO,0.8186173853524983,0.0023875845602865098,0.2005571030640676
CAISO,0.8213552361396304,0.0023875845602865098,0.20175089534421087
CAISO,0.8240930869267625,0.0023875845602865098,0.20493434142459288
CAISO,0.8268309377138946,0.0023875845602865098,0.2073219259848794
CAISO,0.8295687885010267,0.0023875845602865098,0.2097095105451659
CAISO,0.8323066392881588,0.0023875845602865098,0.2113012335853569
CAISO,0.8350444900752909,0.0023875845602865098,0.21249502586550018
CAISO,0.840520191649555,0.0023875845602865098,0.21368881814564344
CAISO,0.8432580424366872,0.0023875845602865098,0.21647433346597772
CAISO,0.8459958932238193,0.0023875845602865098,0.21687226422602549
CAISO,0.8487337440109514,0.0023875845602865098,0.217668125746121
CAISO,0.8514715947980835,0.0023875845602865098,0.22124950258655077
CAISO,0.8542094455852156,0.0023875845602865098,0.22562674094707605
CAISO,0.8569472963723477,0.0023875845602865098,0.22682053322721932
CAISO,0.8596851471594799,0.0023875845602865098,0.22721846398726708
CAISO,0.8624229979466119,0.0023875845602865098,0.23239156386788784
CAISO,0.865160848733744,0.0023875845602865098,0.23557500994826985
CAISO,0.8678986995208761,0.0023875845602865098,0.23836052526860413
CAISO,0.8706365503080082,0.0023875845602865098,0.24074810982889064
CAISO,0.8733744010951403,0.0023875845602865098,0.24154397134898614
CAISO,0.8815879534565366,0.0023875845602865098,0.24353362514922489
CAISO,0.8843258042436687,0.0023875845602865098,0.2451253481894159
CAISO,0.8870636550308009,0.0023875845602865098,0.2510943095901322
CAISO,0.8898015058179329,0.0023875845602865098,0.2526860326303232
CAISO,0.892539356605065,0.0023875845602865098,0.25706327099084847
CAISO,0.8952772073921971,0.0023875845602865098,0.2574612017508962
CAISO,0.8980150581793293,0.0023875845602865098,0.2606446478312782
CAISO,0.9007529089664613,0.0023875845602865098,0.2662156784719467
CAISO,0.9034907597535934,0.0023875845602865098,0.26740947075209
CAISO,0.9062286105407256,0.0023875845602865098,0.27099084759251973
